imeStamp,Value
20221005084341,18.604397773742676
20221005084342,18.604397773742676
20221005084343,18.61257553100586
20221005084344,18.649375438690186
20221005084345,18.620753288269043
20221005084346,19.29541826248169
20221005084347,18.596220016479492
20221005084348,18.58804225921631
20221005084349,18.624842166900635
20221005084350,18.555331230163574
20221005084351,18.563508987426758
20221005084352,18.551242351531982
20221005084353,18.538975715637207
20221005084354,18.54715347290039
20221005084355,18.57168674468994
20221005084356,18.57168674468994
20221005084357,18.596220016479492
20221005084358,18.669819831848145
20221005084359,18.58804225921631
20221005084400,18.628931045532227
20221005084401,18.57168674468994
20221005084402,18.56759786605835
20221005084403,18.624842166900635
20221005084404,18.608486652374268
20221005084405,18.604397773742676
20221005084406,18.608486652374268
